SIZE,AVG_HEIGHT,INSERT_RUNTIME,DESTROY_RUNTIME
51600,580,177762,2365
51728,579,176102,2401
51856,584,179310,2360
51984,585,177228,2335
52112,588,179949,2369
52240,587,180616,2363
52368,588,182715,2368
52496,592,205968,2780
52624,593,182790,2395
52752,593,186480,2378
52880,594,186698,2428
53008,597,187779,2438
53136,596,189586,2552
53264,598,188808,2460
53392,602,191028,2469
53520,600,191537,2415
53648,602,192291,2456
53776,605,192465,2450
53904,604,195437,2476
54032,606,195434,2523
54160,610,197505,2496
54288,609,196138,2494
54416,612,197156,2511
54544,611,200165,2543
54672,614,199705,2504
54800,612,201317,2514
54928,621,205013,2498
55056,616,203142,2547
55184,625,204548,2547
55312,624,205019,2666
55440,627,206630,2533
55568,622,206126,2597
55696,625,206658,2578
55824,622,209344,2578
55952,629,211509,2625
56080,629,209203,2625
56208,631,211636,2652
56336,628,212049,2555
56464,632,215015,2574
56592,634,213753,2567
56720,635,218410,2646
56848,636,215722,2591
56976,635,221262,2615
57104,641,220277,2665
57232,642,221443,2817
57360,642,227251,2628
57488,647,223062,2697
57616,647,227636,2768
57744,647,225410,2718
57872,650,226579,2673
58000,648,227650,2853
58128,650,230398,2799
58256,649,229457,2808
58384,653,228909,2625
58512,654,230120,2670
58640,658,230544,2670
58768,657,230849,2723
58896,659,230498,2690
59024,662,234719,2705
59152,665,237551,2728
59280,664,235929,2718
59408,663,234655,2689
59536,665,237013,2708
59664,669,238595,2728
59792,671,240337,2710
59920,668,242228,2738
60048,669,240750,2735
60176,674,240903,2688
60304,671,244706,2777
60432,674,246157,2768
60560,676,244190,2779
60688,677,247122,2777
60816,677,249880,2916
60944,678,251653,2933
61072,681,250025,2902
61200,681,252658,2924
61328,685,255493,2973
61456,687,253200,2955
61584,688,252725,2990
61712,686,257158,2969
61840,686,259155,3005
61968,691,258984,2887
62096,691,263566,2969
62224,696,262781,2869
62352,699,266447,3041
62480,696,269258,2921
62608,695,265346,2970
62736,700,268876,2903
62864,699,267018,2936
62992,701,270871,2923
63120,700,269418,2991
63248,704,273081,2932
63376,707,272650,2920
63504,708,273542,3030
63632,714,275290,3038
63760,712,276485,3039
63888,712,278638,3042
64016,713,276616,2929
64144,712,280540,2966
64272,712,280782,2942
64400,718,279163,2912
64528,719,282160,3053
64656,716,312760,3017
64784,720,284863,3005
64912,723,282833,2938
65040,723,284668,2983
65168,725,287142,2960
65296,728,289324,3020
65424,728,289319,3008
